,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2017-06-01,0.000133467896287061,-0.0026266836865914975,0.003526188704088277,0.000133467896287061,0.000133467896287061,0.0004650247335120428,0.0004650247335120428,0.0004650247335120428,0.00023917369808818843,0.00023917369808818843,0.00023917369808818843,0.0002258510354238543,0.0002258510354238543,0.0002258510354238543,0.0,0.0,0.0,0.0005984926297991038
1,2017-06-02,0.0001335992895232641,-0.002562967659336001,0.0038853001932159814,0.0001335992895232641,0.0001335992895232641,0.0005200068221025467,0.0005200068221025467,0.0005200068221025467,0.0002712988102753341,0.0002712988102753341,0.0002712988102753341,0.0002487080118272125,0.0002487080118272125,0.0002487080118272125,0.0,0.0,0.0,0.0006536061116258107
2,2017-06-03,0.00013373068275946722,-0.002666049307899159,0.00334274686087887,0.00013373068275946722,0.00013373068275946722,0.0001737399906961264,0.0001737399906961264,0.0001737399906961264,-9.628825886956581e-05,-9.628825886956581e-05,-9.628825886956581e-05,0.0002700282495656923,0.0002700282495656923,0.0002700282495656923,0.0,0.0,0.0,0.0003074706734555936
3,2017-06-04,0.00013386207599567037,-0.003008216656328274,0.0030508808699392913,0.00013386207599567037,0.00013386207599567037,6.382819238853845e-05,6.382819238853845e-05,6.382819238853845e-05,-0.00022578170785955159,-0.00022578170785955159,-0.00022578170785955159,0.00028960990024809,0.00028960990024809,0.00028960990024809,0.0,0.0,0.0,0.00019769026838420883
4,2017-06-05,0.00013399346923187347,-0.002568728220026311,0.0034751734293976865,0.00013399346923187347,0.00013399346923187347,0.0002432271685351607,0.0002432271685351607,0.0002432271685351607,-6.402097037173045e-05,-6.402097037173045e-05,-6.402097037173045e-05,0.00030724813890689107,0.00030724813890689107,0.00030724813890689107,0.0,0.0,0.0,0.00037722063776703417
5,2017-06-06,0.0001341248624680766,-0.0027711684557010932,0.0032441801746509826,0.0001341248624680766,0.0001341248624680766,0.00023909302093540235,0.00023909302093540235,0.00023909302093540235,-8.364166702525057e-05,-8.364166702525057e-05,-8.364166702525057e-05,0.000322734687960653,0.000322734687960653,0.000322734687960653,0.0,0.0,0.0,0.00037321788340347896
6,2017-06-07,0.00013425625570427971,-0.002577814861425386,0.003454120395994172,0.00013425625570427971,0.00013425625570427971,0.0002951184820482472,0.0002951184820482472,0.0002951184820482472,-4.073990423772182e-05,-4.073990423772182e-05,-4.073990423772182e-05,0.0003358583862859691,0.0003358583862859691,0.0003358583862859691,0.0,0.0,0.0,0.00042937473775252693
7,2017-06-08,0.0001343876489404828,-0.002167015534493533,0.003919604933519356,0.0001343876489404828,0.0001343876489404828,0.0005855805748337495,0.0005855805748337495,0.0005855805748337495,0.0002391736980883895,0.0002391736980883895,0.0002391736980883895,0.00034640687674535996,0.00034640687674535996,0.00034640687674535996,0.0,0.0,0.0,0.0007199682237742323
8,2017-06-09,0.00013451904217668594,-0.0023712346594526425,0.004036480903029769,0.00013451904217668594,0.00013451904217668594,0.0006254682469022664,0.0006254682469022664,0.0006254682469022664,0.00027129881027514456,0.00027129881027514456,0.00027129881027514456,0.00035416943662712187,0.00035416943662712187,0.00035416943662712187,0.0,0.0,0.0,0.0007599872890789523
9,2017-06-10,0.00013465043541288906,-0.0025509166879438983,0.00354631289173548,0.00013465043541288906,0.00013465043541288906,0.00026265266560613964,0.00026265266560613964,0.00026265266560613964,-9.628825886911196e-05,-9.628825886911196e-05,-9.628825886911196e-05,0.0003589409244752516,0.0003589409244752516,0.0003589409244752516,0.0,0.0,0.0,0.0003973031010190287
10,2017-06-11,0.00013478182864909218,-0.002996012128546817,0.00328921839732418,0.00013478182864909218,0.00013478182864909218,0.00013474505763642753,0.00013474505763642753,0.00013474505763642753,-0.00022578170785964296,-0.00022578170785964296,-0.00022578170785964296,0.00036052676549607046,0.00036052676549607046,0.00036052676549607046,0.0,0.0,0.0,0.0002695268862855197
11,2017-06-12,0.0001349132218852953,-0.0025118775529118327,0.0033884003523639754,0.0001349132218852953,0.0001349132218852953,0.0002947278775568001,0.0002947278775568001,0.0002947278775568001,-6.40209703716158e-05,-6.40209703716158e-05,-6.40209703716158e-05,0.0003587488479284159,0.0003587488479284159,0.0003587488479284159,0.0,0.0,0.0,0.00042964109944209543
12,2017-06-13,0.0001350446151214984,-0.0028062219941727335,0.0033544982007798763,0.0001350446151214984,0.0001350446151214984,0.00026981048919802605,0.00026981048919802605,0.00026981048919802605,-8.36416670252996e-05,-8.36416670252996e-05,-8.36416670252996e-05,0.0003534521562233257,0.0003534521562233257,0.0003534521562233257,0.0,0.0,0.0,0.00040485510431952445
13,2017-06-14,0.00013517600835770153,-0.002492285577744694,0.003674291808640321,0.00013517600835770153,0.00013517600835770153,0.000303772021069795,0.000303772021069795,0.000303772021069795,-4.073990423758682e-05,-4.073990423758682e-05,-4.073990423758682e-05,0.00034451192530738175,0.00034451192530738175,0.00034451192530738175,0.0,0.0,0.0,0.00043894802942749656
14,2017-06-15,0.00013530740159390468,-0.00260407783190988,0.003628911269289909,0.00013530740159390468,0.00013530740159390468,0.000571014763236331,0.000571014763236331,0.000571014763236331,0.00023917369808859048,0.00023917369808859048,0.00023917369808859048,0.0003318410651477404,0.0003318410651477404,0.0003318410651477404,0.0,0.0,0.0,0.0007063221648302357
15,2017-06-16,0.00013543879483010778,-0.0026167324124325123,0.0037145242669636707,0.00013543879483010778,0.00013543879483010778,0.0005866963879488335,0.0005866963879488335,0.0005866963879488335,0.00027129881027545313,0.00027129881027545313,0.00027129881027545313,0.00031539757767338024,0.00031539757767338024,0.00031539757767338024,0.0,0.0,0.0,0.0007221351827789412
16,2017-06-17,0.0001355701880663109,-0.0027362220933651936,0.0035993188399805697,0.0001355701880663109,0.0001355701880663109,0.00019890341109669797,0.00019890341109669797,0.00019890341109669797,-9.628825886935557e-05,-9.628825886935557e-05,-9.628825886935557e-05,0.00029519166996605354,0.00029519166996605354,0.00029519166996605354,0.0,0.0,0.0,0.0003344735991630089
17,2017-06-18,0.00013570158130251403,-0.0027240835975615133,0.0030877100728937397,0.00013570158130251403,0.00013570158130251403,4.55105515219544e-05,4.55105515219544e-05,4.55105515219544e-05,-0.00022578170785954394,-0.00022578170785954394,-0.00022578170785954394,0.00027129225938149834,0.00027129225938149834,0.00027129225938149834,0.0,0.0,0.0,0.00018121213282446842
